soc_percent,p_net_w,irradiance_wm2,weather_index,demand_index,centroid,fis_mode
0.0,-170.0,850.0,0.85,0.85,0.6385,M1
0.0,-165.0,850.0,0.85,0.85,0.6247,M1
0.0,-160.0,850.0,0.85,0.85,0.6085,M1
0.0,-155.0,850.0,0.85,0.85,0.5892,M1
0.0,-150.0,850.0,0.85,0.85,0.5666,M1
0.0,-145.0,850.0,0.85,0.85,0.54,M1
0.0,-140.0,850.0,0.85,0.85,0.5087,M1
0.0,-135.0,850.0,0.85,0.85,0.4717,M0
0.0,-130.0,850.0,0.85,0.85,0.4281,M0
0.0,-125.0,850.0,0.85,0.85,0.3764,M0
0.0,-120.0,850.0,0.85,0.85,0.3147,M0
0.0,-115.0,850.0,0.85,0.85,0.3147,M0
0.0,-110.0,850.0,0.85,0.85,0.3147,M0
0.0,-105.0,850.0,0.85,0.85,0.3147,M0
0.0,-100.0,850.0,0.85,0.85,0.3147,M0
0.0,-95.0,850.0,0.85,0.85,0.3147,M0
0.0,-90.0,850.0,0.85,0.85,0.3147,M0
0.0,-85.0,850.0,0.85,0.85,0.3147,M0
0.0,-80.0,850.0,0.85,0.85,0.3147,M0
0.0,-75.0,850.0,0.85,0.85,0.3147,M0
0.0,-70.0,850.0,0.85,0.85,0.3147,M0
0.0,-65.0,850.0,0.85,0.85,0.3147,M0
0.0,-60.0,850.0,0.85,0.85,0.3147,M0
0.0,-55.0,850.0,0.85,0.85,0.3147,M0
0.0,-50.0,850.0,0.85,0.85,0.3147,M0
0.0,-45.0,850.0,0.85,0.85,0.3147,M0
0.0,-40.0,850.0,0.85,0.85,0.3147,M0
0.0,-35.0,850.0,0.85,0.85,0.3147,M0
0.0,-30.0,850.0,0.85,0.85,0.3147,M0
0.0,-25.0,850.0,0.85,0.85,0.3147,M0
0.0,-20.0,850.0,0.85,0.85,0.3147,M0
0.0,-15.0,850.0,0.85,0.85,0.3147,M0
0.0,-10.0,850.0,0.85,0.85,0.3147,M0
0.0,-5.0,850.0,0.85,0.85,0.3147,M0
0.0,0.0,850.0,0.85,0.85,0.3147,M0
0.0,5.0,850.0,0.85,0.85,0.3147,M0
0.0,10.0,850.0,0.85,0.85,0.3147,M0
